"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240201","중앙선","지평","50","48","20240204",""
"20240201","1호선","서울역","55830","53325","20240204",""
"20240201","1호선","시청","29463","29548","20240204",""
"20240201","1호선","종각","45112","44093","20240204",""
"20240201","1호선","종로3가","27668","25385","20240204",""
"20240201","1호선","종로5가","25556","25163","20240204",""
"20240201","1호선","동대문","11288","11029","20240204",""
"20240201","1호선","신설동","14701","14290","20240204",""
"20240201","1호선","제기동","20767","21332","20240204",""
"20240201","1호선","청량리(서울시립대입구)","24425","23886","20240204",""
"20240201","1호선","동묘앞","9226","9587","20240204",""
"20240201","2호선","시청","30605","29640","20240204",""
"20240201","2호선","을지로입구","53815","55814","20240204",""
"20240201","2호선","을지로3가","27884","28136","20240204",""
"20240201","2호선","을지로4가","15353","15474","20240204",""
"20240201","2호선","동대문역사문화공원(DDP)","15047","17118","20240204",""
"20240201","2호선","신당","15591","16352","20240204",""
"20240201","2호선","상왕십리","15479","15293","20240204",""
"20240201","2호선","왕십리(성동구청)","16472","14850","20240204",""
"20240201","2호선","한양대","8358","9034","20240204",""
"20240201","2호선","뚝섬","25996","27839","20240204",""
"20240201","2호선","성수","45482","49253","20240204",""
"20240201","2호선","건대입구","36711","38551","20240204",""
"20240201","2호선","구의(광진구청)","27557","26935","20240204",""
"20240201","2호선","강변(동서울터미널)","31388","28861","20240204",""
"20240201","2호선","잠실나루","17180","16678","20240204",""
"20240201","2호선","잠실(송파구청)","79969","79252","20240204",""
"20240201","2호선","잠실새내","25593","24999","20240204",""
"20240201","2호선","종합운동장","8396","9066","20240204",""
"20240201","2호선","삼성(무역센터)","67032","64758","20240204",""
"20240201","2호선","선릉","66434","58417","20240204",""
"20240201","2호선","역삼","59763","68405","20240204",""
"20240201","2호선","강남","91547","88324","20240204",""
"20240201","2호선","교대(법원.검찰청)","35067","41635","20240204",""
"20240201","2호선","서초","24058","23764","20240204",""
"20240201","2호선","방배","16676","17077","20240204",""
"20240201","2호선","사당","41975","45719","20240204",""
"20240201","2호선","낙성대(강감찬)","29062","27698","20240204",""
"20240201","2호선","서울대입구(관악구청)","49455","48312","20240204",""
"20240201","2호선","봉천","26162","24723","20240204",""
"20240201","2호선","신림","57868","55465","20240204",""
"20240201","2호선","신대방","26576","25816","20240204",""
